,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255222,1255222,Ingridsvej 8A,9000 Aalborg,245000,1992-10-29,Alm. Salg,1701.0,5.0,Villa,144.0,1994.0,0.0,57.045634,9.888466,1992
1255223,1255223,"Algade 50, 2",9000 Aalborg,2190000,1992-10-29,Auktion,,3.0,Lejlighed,96.0,1900.0,0.0,57.04819000000001,9.917534,1992
1255224,1255224,Gravenstenvej 7,9000 Aalborg,676750,1992-10-23,Alm. Salg,4151.0,6.0,Villa,163.0,1979.0,0.0,57.039877,9.861448,1992
1255225,1255225,Under Lien 3,9000 Aalborg,600200,1992-10-21,Alm. Salg,,5.0,Villa,202.0,1925.0,0.0,57.04051800000001,9.872196,1992
1255226,1255226,Mester Eriks Vej 29,9000 Aalborg,279526,1992-10-21,Fam. Salg,,5.0,Villa,146.0,1931.0,0.0,57.03734,9.871329,1992
1255227,1255227,Filippavej 8,9000 Aalborg,730000,1992-10-20,Alm. Salg,5447.0,4.0,Villa,134.0,1972.0,0.0,57.03951,9.864037,1992
1255228,1255228,Hobrovej 33,9000 Aalborg,951000,1992-10-19,Alm. Salg,,8.0,Villa,303.0,1912.0,0.0,57.038187,9.910389,1992
1255229,1255229,Ferskenvej 14,9000 Aalborg,700000,1992-10-17,Alm. Salg,5263.0,5.0,Villa,133.0,1972.0,0.0,57.038049,9.861144,1992
1255230,1255230,"Sankt Jørgens Gade 8, 4. TH",9000 Aalborg,350000,1992-10-13,Alm. Salg,5555.0,2.0,Lejlighed,63.0,1970.0,0.0,,,1992
1255231,1255231,Mågevej 25,9000 Aalborg,490000,1992-10-13,Alm. Salg,3475.0,6.0,Villa,141.0,1934.0,0.0,57.02789300000001,9.932601,1992
1255232,1255232,Hasserisvej 259,9000 Aalborg,560000,1992-08-10,Alm. Salg,,6.0,Rækkehus,135.0,1954.0,0.0,57.033411,9.883101,1992
1255233,1255233,"Malurtvej 10, 1. TV",9000 Aalborg,370000,1992-08-10,Alm. Salg,4512.0,3.0,Lejlighed,82.0,1975.0,0.0,,,1992
1255234,1255234,Thorsens Alle 20,9000 Aalborg,475000,1992-07-10,Alm. Salg,,5.0,Villa,122.0,1954.0,0.0,57.036993,9.880041,1992
1255235,1255235,Forchhammersvej 46,9000 Aalborg,670000,1992-07-10,Alm. Salg,4785.0,6.0,Villa,140.0,1919.0,0.0,57.03369100000001,9.911178,1992
1255236,1255236,Egholm 21,9000 Aalborg,550000,1992-06-10,Alm. Salg,5288.0,3.0,Stuehus,104.0,1952.0,0.0,57.069713,9.860409,1992
1255237,1255237,Max Henius Vej 10,9000 Aalborg,604687,1992-09-30,Alm. Salg,4687.0,4.0,Villa,129.0,1931.0,0.0,57.03001,9.916695,1992
1255238,1255238,Grønnegade 37,9000 Aalborg,248365,1992-09-25,Alm. Salg,2052.0,4.0,Villa,121.0,1910.0,0.0,57.042495,9.952143,1992
1255239,1255239,"Sofievej 134, 1",9000 Aalborg,360000,1992-09-24,Alm. Salg,4186.0,3.0,Lejlighed,86.0,1963.0,0.0,57.02918199999999,9.964196,1992
1255240,1255240,Nældevej 50,9000 Aalborg,675000,1992-09-24,Fam. Salg,2636.0,5.0,Stuehus,256.0,1927.0,0.0,57.027313,9.810224,1992
1255241,1255241,Mariehønevej 28,9000 Aalborg,222718,1992-09-22,Alm. Salg,4283.0,3.0,Sommerhus,52.0,1984.0,0.0,57.035763,9.765189,1992
1255242,1255242,Steenstrupsvej 22,9000 Aalborg,801600,1992-09-22,Alm. Salg,,5.0,Villa,137.0,1924.0,0.0,57.036449,9.900766,1992
1255243,1255243,Bernstorffsgade 39,9000 Aalborg,650000,1992-09-21,Alm. Salg,7222.0,3.0,Villa,90.0,1935.0,0.0,57.037887,9.942989,1992
1255244,1255244,Mester Eriks Vej 25,9000 Aalborg,716000,1992-09-17,Alm. Salg,4022.0,7.0,Villa,178.0,1939.0,0.0,57.037677,9.87162,1992
1255245,1255245,Strøybergsvej 60,9000 Aalborg,725000,1992-09-17,Alm. Salg,2911.0,5.0,Villa,249.0,1995.0,0.0,57.043517,9.88412,1992
1255246,1255246,Bernstorffsgade 81,9000 Aalborg,510000,1992-09-14,Alm. Salg,,3.0,Villa,80.0,1956.0,0.0,57.035836,9.939751,1992
1255247,1255247,Nørholmsvej 196,9000 Aalborg,1425000,1992-09-14,Alm. Salg,5700.0,6.0,Stuehus,250.0,2011.0,0.0,57.035082,9.80611,1992
1255248,1255248,Haraldsvej 20,9000 Aalborg,746000,1992-09-13,Alm. Salg,6486.0,3.0,Villa,115.0,1963.0,0.0,57.026797,9.954746,1992
1255249,1255249,"Årestrupsvej 20, 2. TH",9000 Aalborg,158103,1992-10-09,Alm. Salg,1838.0,3.0,Lejlighed,86.0,1967.0,0.0,,,1992
1255250,1255250,Kjærs Mølle Vej 8,9000 Aalborg,750000,1992-10-09,Alm. Salg,4838.0,6.0,Villa,155.0,1935.0,0.0,57.034014,9.917,1992
1255251,1255251,"Sankt Jørgens Gade 8, 4. MF",9000 Aalborg,286471,1992-07-09,Alm. Salg,5025.0,2.0,Lejlighed,57.0,1970.0,0.0,,,1992
1255252,1255252,Vonsyldsgade 38,9000 Aalborg,750000,1992-04-09,Alm. Salg,7653.0,5.0,Villa,98.0,1929.0,0.0,57.036557,9.942624,1992
1255253,1255253,Skovgårdsvej 20,9000 Aalborg,645000,1992-03-09,Alm. Salg,5608.0,4.0,Villa,115.0,1959.0,0.0,57.046365,9.966154,1992
1255254,1255254,Hadsundvej 178,9000 Aalborg,394000,1992-01-09,Alm. Salg,3581.0,5.0,Villa,110.0,1925.0,0.0,57.025475,9.960524,1992
1255255,1255255,Vonsyldsgade 53,9000 Aalborg,361000,1992-08-30,Alm. Salg,,4.0,Villa,127.0,1924.0,0.0,57.034933,9.940811,1992
1255256,1255256,Geskevej 10,9000 Aalborg,570000,1992-08-26,Alm. Salg,,6.0,Villa,150.0,1959.0,0.0,57.039143,9.873657,1992
1255257,1255257,Martinus Rørbyes Vej 18,9000 Aalborg,325000,1992-08-26,Alm. Salg,,5.0,Villa,180.0,1959.0,0.0,57.046964,9.961216,1992
1255258,1255258,Thorsgade 33,9000 Aalborg,560000,1992-08-26,Alm. Salg,3835.0,6.0,Villa,146.0,1925.0,0.0,57.03875,9.947322,1992
1255259,1255259,Oluf Borchs Vej 21,9000 Aalborg,760000,1992-08-24,Alm. Salg,7307.0,4.0,Villa,104.0,1935.0,0.0,57.028622,9.918806,1992
1255260,1255260,Guldborgvej 10,9000 Aalborg,1167000,1992-08-23,Alm. Salg,6142.0,7.0,Villa,190.0,1987.0,0.0,57.039412,9.866367,1992
1255261,1255261,Skovbakkevej 17,9000 Aalborg,1027000,1992-08-23,Alm. Salg,4754.0,5.0,Villa,216.0,1941.0,0.0,57.043338,9.903036,1992
