,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
645464,645464,Overstræde 1C,5000 Odense C,827000,1992-04-29,Alm. Salg,7254.0,3.0,Rækkehus,114.0,1980.0,0.0,55.398011,10.392161,1992
645465,645465,Egebæksvej 23,5000 Odense C,375000,1992-04-29,Alm. Salg,3906.0,5.0,Villa,96.0,1934.0,0.0,55.416357,10.392053,1992
645466,645466,Karl Withs Vej 1,5000 Odense C,740000,1992-04-27,Alm. Salg,6218.0,5.0,Villa,119.0,1923.0,0.0,55.399677,10.357969,1992
645467,645467,Johannevej 37,5000 Odense C,710000,1992-04-24,Alm. Salg,5071.0,5.0,Villa,140.0,1931.0,0.0,55.404084,10.362485,1992
645468,645468,Baumgartensvej 41,5000 Odense C,535000,1992-04-22,Alm. Salg,5459.0,4.0,Villa,98.0,1925.0,0.0,55.41106800000001,10.38961,1992
645469,645469,Kragsbjergvej 4,5000 Odense C,598000,1992-08-04,Alm. Salg,4784.0,5.0,Villa,125.0,1929.0,0.0,55.392753000000006,10.399012,1992
645470,645470,Enighedsvej 40,5000 Odense C,467000,1992-07-04,Alm. Salg,4096.0,4.0,Villa,114.0,1977.0,0.0,55.411145,10.397323,1992
645471,645471,Irenevej 15,5000 Odense C,737600,1992-06-04,Alm. Salg,,7.0,Villa,163.0,1954.0,0.0,55.416062,10.404757,1992
645472,645472,"Holmehusvej 81, ST. TV",5000 Odense C,1626625,1992-06-04,Alm. Salg,24277.0,3.0,Lejlighed,67.0,1943.0,0.0,,,1992
645473,645473,Thorkildsgade 10,5000 Odense C,690000,1992-03-31,Alm. Salg,5847.0,4.0,Villa,118.0,1911.0,0.0,55.411038,10.392629,1992
645474,645474,Dronning Olgas Vej 8,5000 Odense C,650000,1992-03-31,Fam. Salg,4113.0,6.0,Villa,158.0,1912.0,0.0,55.402647,10.366522,1992
645475,645475,"Skibhusvej 177, 1. TV",5000 Odense C,375000,1992-03-31,Alm. Salg,5357.0,3.0,Lejlighed,70.0,1939.0,0.0,,,1992
645476,645476,"Hans Tausens Gade 13, 2. TV",5000 Odense C,610000,1992-03-23,Alm. Salg,4621.0,4.0,Lejlighed,132.0,1899.0,0.0,,,1992
645477,645477,"Istedvænget 4, 3. TH",5000 Odense C,585000,1992-06-03,Alm. Salg,5571.0,4.0,Lejlighed,105.0,1928.0,0.0,,,1992
645478,645478,Reventlowsvej 28,5000 Odense C,763452,1992-02-29,Alm. Salg,5376.0,6.0,Villa,142.0,1930.0,0.0,55.390979,10.400516,1992
645479,645479,"Vesterbro 75, 1. TH",5000 Odense C,261628,1992-02-28,Alm. Salg,3354.0,3.0,Lejlighed,78.0,1887.0,0.0,,,1992
645480,645480,Tesdorpfsvej 49,5000 Odense C,830000,1992-02-28,Alm. Salg,6974.0,5.0,Villa,119.0,1934.0,0.0,55.389057,10.402408,1992
645481,645481,Ærøgade 42,5000 Odense C,550000,1992-02-21,Alm. Salg,4782.0,6.0,Villa,115.0,1930.0,0.0,55.418145,10.397317,1992
645482,645482,"Sdr. Boulevard 58K, 1",5000 Odense C,810000,1992-02-19,Alm. Salg,7864.0,3.0,Lejlighed,103.0,1990.0,0.0,,,1992
645483,645483,"Klostervej 24B, 3. TV",5000 Odense C,410000,1992-12-02,Alm. Salg,4059.0,3.0,Lejlighed,101.0,1913.0,0.0,,,1992
645484,645484,"Henriettevej 3B, 3. TH",5000 Odense C,478750,1992-10-02,Alm. Salg,6469.0,2.0,Lejlighed,74.0,1906.0,0.0,,,1992
645485,645485,Windelsvej 52,5000 Odense C,375000,1992-06-02,Alm. Salg,2435.0,6.0,Villa,154.0,1936.0,0.0,55.417326,10.393949,1992
645486,645486,Tesdorpfsvej 17,5000 Odense C,855000,1992-05-02,Alm. Salg,4857.0,6.0,Villa,176.0,1938.0,0.0,55.387783,10.39859,1992
645487,645487,"Albanigade 7, 1",5000 Odense C,440000,1992-01-29,Alm. Salg,2894.0,5.0,Lejlighed,152.0,2010.0,0.0,,,1992
645488,645488,Annasholmsgade 36,5000 Odense C,735000,1992-01-28,Alm. Salg,5034.0,4.0,Villa,146.0,1926.0,0.0,55.406685,10.397389,1992
645489,645489,Svendsgade 20,5000 Odense C,810000,1992-01-24,Alm. Salg,6279.0,5.0,Villa,129.0,1985.0,0.0,55.39625699999999,10.413876,1992
645490,645490,"Kochsgade 55, ST. 6",5000 Odense C,115000,1992-01-21,Alm. Salg,3194.0,1.0,Lejlighed,36.0,1962.0,0.0,,,1992
645491,645491,Mads Hansens Vej 11,5000 Odense C,768600,1992-01-15,Alm. Salg,5193.0,6.0,Villa,148.0,1922.0,0.0,55.39872800000001,10.359299,1992
645492,645492,"Filosofgangen 14, 2",5000 Odense C,1300000,1992-01-13,Alm. Salg,13000.0,3.0,Lejlighed,100.0,1899.0,0.0,55.393019,10.385059,1992
645493,645493,Skippervænget 4,5000 Odense C,375000,1992-10-01,Alm. Salg,,4.0,Rækkehus,117.0,1810.0,0.0,55.427351,10.416111,1992
645494,645494,Sophie Breums Vej 7,5000 Odense C,510000,1992-10-01,Alm. Salg,,4.0,Villa,131.0,1934.0,0.0,55.407801,10.39587,1992
645495,645495,Døckerslundsvej 143,5000 Odense C,350000,1992-09-01,Alm. Salg,,4.0,Villa,102.0,1948.0,0.0,55.410973,10.417023,1992
645496,645496,"Kochsgade 8, 1. TH",5000 Odense C,98802,1992-09-01,Alm. Salg,1317.0,2.0,Lejlighed,75.0,1935.0,0.0,,,1992
645497,645497,"Schacksgade 26, ST. TV",5000 Odense C,377000,1992-08-01,Alm. Salg,5890.0,2.0,Lejlighed,64.0,1930.0,0.0,,,1992
